ID,Corpus,Label,Created_at
67,"Terungkapnya jaringan Saracen menjadi pemberitaan yang menyedot perhatian banyak pihak. Di tengah-tengah pemberitaan tentang penyelidikan polisi atas sindikat ini, beredar informasi tentang siapa saja di balik aksi penyebar kebencian ini. Salah satunya beredar luas di media sosial kabar bahwa seorang Pegawai Negeri Sipil (PNS) di lingkungan Pemkab Bantul dikabarkan terlibat jaringan Saracen. Foto KTP atas nama Dwi Ratna Supri Hastuti (52) menyebar dengan cepat dengan keterangan di bawahnya yang meyebutkan bahwa Ratna merupakan anggota Saracen. Lebih lanjut isu itu menyebutkan kalau pemilik KTP itu disebut telah ditangkap polisi karena terkait dengan sindikat Saracen.",0,2018-02-02 02:55:08.564222+00:00
68,"Isu ini dihembuskan pertama kali oleh pemilik akun Facebook dengan inisial SAL. Dia mengunggah status Facebook mengenai kejadian kebakaran pesawat Singapore Airlines pada 4 Juli 2017 dengan menyertakan keterangan waktu 'pagi ini' dalam status itu. Berikut bunyi status Facebook tersebut: SQ , pagi ini jm 02.30 dari Spore ke Milan Italia, perjalanan 2jam lbh sayap pesawat minyak nya bocor & pswt nya balik lagi ke Spore, setelah mendarat 10menit lgsg kebakaran sayap pswtnya. Tapi dpt segera dipadamkan. Yg Sangat Berjasa adalah Grew Pilot & Penumpangnya TENANG & KERJASAMA YG BAIK. SAL juga menyertakan 2 video dalam postingan mengenai kejadian kebakaran pesawat ini. Status Facebook SAL pun dilihat dan dishare oleh banyak pengguna Facebook lain.",1,2018-02-02 02:55:31.017661+00:00
69,"Pesan berantai di media sosial dan grup komunikasi pagi ini di Yogyakarta ramai oleh artikel berita dan foto kawasan Yogyakarta yang berkabut tebal. Beberapa di antaranya berlatar belakang Gunung Merapi. Ada pula warga Yogyakarta yang mengaku memang tempat tinggalnya diselimuti kabut tebal yang tak biasa. Sebuah artikel berita lama dari sebuah media online yang mengabarkan kondisi Merapi pada 2010 juga ikut tersebar luar. Tak ada waktu pasti dalam artikel tersebut, tapi tertera tanggal 26 Januari. Beberapa yang tak memperhatikannya kemudian resah dan ikut menyebarkan artikel tersebut untuk mempertanyakannya.",1,2018-02-02 02:55:42.220917+00:00
70,"Dalam sepekan terakhir, beredar foto dan video di Facebook yang memperlihatkan pohon dan semak-semak terbakar dengan disertai judul 'Suhu Di Kuwait Mencapai 62C, Pohon Dan Semak-Semak Sampai Terbakar'. Foto itu berasal dari akun Facebook bernama Sami Khan pada 3 Agustus 2017. ""Kuwait burning. Temp hit 62c. Bushes and trees burnt out,"" demikian tulisan di akun Facebook Sami Khan. Sami Khan hanya menampilkan screenshot video. Video sebenarnya ada di YouTube dengan judul yang sama. Video itu memperlihatkan pohon di pinggir jalan terbakar dan terdengar seseorang berbahasa Arab berbicara di video itu. Ada pula foto lampu lalu lintas meleleh yang beredar. Foto itu disebut juga ada di Kuwait akibat suhu panas. ",0,2018-02-02 02:56:00.213343+00:00
71,"""Hati-hati mengambil tisu di toilet umum! Tolong beritahu orang-orang yang kita sayangi, anak, orang tua dan keluarga, dll. Orang yang kena HIV/AIDS dengan sengaja menaruh jarum suntik bekas mereka di dekat tisu toilet umum."" Informasi beserta foto jarum suntik yang 'menempel' di tempat tisu toilet umum ini viral di media sosial. Disebutkan jarum tersebut sengaja dipasang untuk menularkan HIV-AIDS pada masyarakat.",0,2018-02-02 02:56:10.785473+00:00
72,"Ada seorang wanita meninggal mendadak dengan kelima panca indra keluar darah. Setelah diselidiki ternyata wanita ini meninggal bukan karena bunuh diri atau dibunuh, melainkan karena ketidaktahuan tentang 'racun akibat makanan'. Wanita ini memiliki kebiasaan makan cokelat tiap hari, ini tidak masalah. Masalahnya, malam itu wanita ini kebanyakan makan mi goreng. Sebenarnya cuma makan mi goreng saja juga tidak masalah, karena orang rumahnya juga banyak makan mi malam itu dan tak ada yang meninggal. Tetapi karena mi itu mengandung arsenic pentoxide (As2O5) dan berhubung habis makan mi wanita itu makan cokelat, terjadilah reaksi kimia di dalam perut yang membuat arsenic pentoxide (As2O5) berubah menjadi arsenic trioxide (As2O3) yang sangat beracun. Inilah yang mengakibatkan hati, jantung, ginjal, pembuluh darah rusak, usus berdarah, pembuluh darah melebar/dilatasi. Jadi hati-hati!! Jika habis banyak makan mi goreng, mi kering, mi soto, jangan makan cokelat pada saat yang bersamaan. Copy paste lah jika Anda merasa ini cukup penting! Demikian informasi yang tengah beredar. Dikatakan bahwa akan terjadi reaksi kimia beracun di dalam tubuh apabila Anda mengonsumsi mi dan cokelat dalam waktu yang berdekatan. Tak main-main, reaksi ini disebut bisa membuat beberapa organ vital seperti hati, jantung dan ginjal bisa rusak.",1,2018-02-02 02:56:24.828287+00:00
73,"Kabar ini berawal dari postingan pengguna Facebook dengan inisial SA pada Rabu, 17 Mei 2017. Dia menuliskan: Misteri motor hantu... pemilikx meninggal 2tahun lalu di lokasi ini dan sudah 2tahun lebih pula motor ini trparkir disana tanpa ada xg bisa memindahkanx.. setiap kali di pindahkan motor ini akan kembali sendiri ke lokasi ini.. jika anda aering melintasi jalur kendari - sulteng anda akan melihat motor ini di wilayah jalan poros sebelum batas... ngeriii … Postingan tersebut direspons ribuan orang. Beberapa media memberitakan. Sementara di ranah maya, sebagian percaya, sebagian meragukan. Ada juga yang menertawakan. Berikut komentar netizen: Ughu Halid Selamat pagi ' sekedar meluruskan sedikit soal motor tersebut"" Memang benar adanya berita tersebut ' motor itu tdk ada yg berani pindahkan atau sentuh ' dan tepatnya di poros menuju Asera konawe utara sultra' konawe utara ini memang sdh batas dari sultra dan sulteng . Karmilah Anggaraini Putri emang beneran yah Fice Armin Itu bukan hoax...barusan sy tanya suami sy..katanya dia sering liat..dikiranya itu motor warga yg mau ke kebun...kbtulan suami sy stiap minggu otw dr morowali ke kendari. Alfonso Felides Trappatoni Kalian semua jgn tertipu dgn berita seperti ini. Dgn adanya berita begini seakan2 Konut itu daerah seram. Pdhal pemilik motor tersebut adalah milik warga sekitar.",0,2018-02-02 02:56:41.730318+00:00
74,"Info dari teman. Teman komunitas saya baru kena serangan jantung, umurnya 52 sih, sebelumnya nggak ada keluhan. Tiba-tiba dia lagi mandi berasa dada seperti tertusuk tombak, terus keringatan sampai basah. Itu kejadian jam 7 malam, terus langsung dibawa ke Daan Mogot dan jam 11 malam dioperasi. Dokter bilang pertolongan pertama kalau kena serangan buru-buru minum Isosorbide Dinitrate 5 mg. Saya saranin kalian orang beli, taruh di dompet 2 biji aja, selain proteksi buat kita kalau sewaktu-waktu ada apa-apa, mana tau ada orang di sekitar kita juga butuh. Sekian sekilas info semoga bermanfaat. Demikian informasi yang beredar luas. Disebutkan di atas bahwa penggunaan obat jenis Isosorbide Dinitrate 5 mg bisa dikonsumsi oleh siapa saja yang tiba-tiba mengalami keluhan nyeri dada atau serangan jantung. ",0,2018-02-02 02:56:53.976010+00:00
75,"Sebuah pesan berantai beredar di WhatsApp grup sejak pagi tadi. Isinya mengabarkan bahwa telah terjadi tabrakan beruntun rombongan umrah pada bulan Ramadhan ini. Di pesan yang beredar tersebut penerima diminta mengecek, barangkali ada keluarga atau kerabat menjadi korban dalam kecelakaan tersebut. ""Innaalillaahi Wa Innaa Ilaihi Raajiu'un.. Update terkini..Kecelakaan tabrakan beruntun rombongan Umroh di Mekkah Ramadhan ini sebanyak 130 orang meninggal dunia.. Cek keluarga dan kerabat yg sedang pergi Umrah..!!Semoga Khusnul Khaatimah,"" begitu bunyi pesan berantai yang beredar pagi tadi, Rabu (31/5/2017).",0,2018-02-02 02:57:05.337173+00:00
76,"Dilaporkan sejumlah warga, sejak sepekan lalu beredar informasi di layanan pesan singkat WhatsApp mengenai bahaya telur berbintik. Pesan tersebut berisi gambar telur berbintik disertai keterangan peringatan akan bahaya bakteri streptococcus. Berikut isi pesan tersebut: Jika menemui telur ayam negeri seperti ini, dibuang saja sebab bintik-bintiknya ini merupakan bibit penyakit yang namanya streptokokus. Dapat hidup di dalam tubuh manusia dan menyebabkan penyakit pencernaan. Kumannya dari kulit telur dapat menembus kulit telur dan masuk ke dalamnya.",1,2018-02-02 05:14:35.109834+00:00
